method,resolution,accuracy(%),unknown_rate(%),avg_latency_ms,fps
MediaPipe,1280x720,3.2,0.0,20.29391860961914,29.049665509408435
MediaPipe,1920x1080,0.8,0.0,20.297146797180176,29.257027164326153
MediaPipe,640x480,3.2,0.0,20.196452140808105,29.23901259414381
OpenCV,1280x720,20.0,0.0,5.6434478759765625,29.81108391101385
OpenCV,1920x1080,12.8,0.0,7.207475662231445,30.09229490985111
OpenCV,640x480,9.2,0.0,3.148463249206543,29.89158191962744
YOLOv8_pose,1280x720,18.8,0.0,53.34354782104492,14.707063915900473
YOLOv8_pose,1920x1080,20.0,0.0,56.16721439361572,14.150498365248279
YOLOv8_pose,640x480,13.2,0.0,63.192453384399414,10.495819869575048
