method,resolution,accuracy(%),unknown_rate(%),avg_latency_ms,fps
MediaPipe,1280x720,5.6,0.0,20.21831226348877,29.214496536100903
MediaPipe,1920x1080,4.0,0.0,20.39062213897705,28.700935102999175
MediaPipe,640x480,9.2,0.0,20.308448791503903,29.240715566225123
OpenCV,1280x720,14.4,0.0,6.076358795166016,29.823258678154453
OpenCV,1920x1080,5.6,0.0,7.767477989196777,30.02961300309774
OpenCV,640x480,16.0,0.0,3.1375856399536133,29.90830640146183
YOLOv8_pose,1280x720,16.8,0.0,54.47341442108154,14.038284127398276
YOLOv8_pose,1920x1080,30.4,0.0,53.66845703125,14.733598563210288
YOLOv8_pose,640x480,11.200000000000001,0.0,63.23904991149902,10.9033997932376
